4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,8,0,13,0,0
0,0,7,0,1,0,1,12,0,0,1,0,2,2,0,0,5,0,1,0
0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0
4,0,0,1,7,3,2,2,0,0,12,0,0,0,0,0,0,0,0,0
0,4,2,0,0,0,0,3,0,0,2,0,1,0,0,5,0,0,7,0
0,0,2,0,0,3,0,0,3,0,2,1,0,0,0,0,0,0,0,1
0,0,0,2,2,0,0,0,0,0,0,0,1,0,8,0,0,0,3,0
0,4,0,4,0,0,4,3,0,0,0,1,0,0,0,0,13,7,0,0
0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,1,0,3,0
0,0,0,0,0,0,1,3,0,1,0,7,0,1,4,0,0,1,0,0
9,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,2,2,0
1,0,1,9,0,14,0,0,0,0,0,0,0,3,0,3,0,0,0,1
0,0,0,2,0,0,3,0,0,0,8,0,0,0,0,0,1,0,1,0
0,0,0,2,0,0,0,0,1,0,1,3,0,0,0,0,0,0,8,0
0,0,0,0,0,1,3,0,0,8,0,0,8,1,0,0,0,3,0,3
5,8,1,0,0,0,0,0,1,4,4,3,0,2,2,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
0,0,0,0,0,5,0,0,0,1,0,1,0,0,2,2,0,1,0,0
0,0,0,7,5,0,3,0,3,0,5,0,0,1,0,0,0,0,0,0
5,0,0,0,0,0,7,0,3,0,3,0,0,15,0,15,0,0,0,0
